Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
yellow-200-ml-real-mango-juice-liquid,"Yellow 200 ML Real Mango Juice, Liquid","<meta content=""text/html; charset=utf-8"" http-equiv=""content-type"">
<div class=""dtlsec1"" data-mce-fragment=""1"">
<h3 class=""fs18 mt30 mb10 color"" data-mce-fragment=""1"">Product Specification</h3>
<table data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td class=""tdwdt"" data-mce-fragment=""1"">Brand</td>
<td class=""tdwdt1 color6"" data-mce-fragment=""1"">Coco Cola</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""tdwdt"" data-mce-fragment=""1"">Color</td>
<td class=""tdwdt1 color6"" data-mce-fragment=""1"">Yellow</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""tdwdt"" data-mce-fragment=""1"">Flavour</td>
<td class=""tdwdt1 color6"" data-mce-fragment=""1"">Mango</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""tdwdt"" data-mce-fragment=""1"">Packaging Size</td>
<td class=""tdwdt1 color6"" data-mce-fragment=""1"">250 ml</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""tdwdt"" data-mce-fragment=""1"">Form</td>
<td class=""tdwdt1 color6"" data-mce-fragment=""1"">Liquid</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""tdwdt"" data-mce-fragment=""1"">Minimum Order Quantity</td>
<td class=""tdwdt1 color6"" data-mce-fragment=""1"">500 Piece</td>
</tr>
</tbody>
</table>
</div>
<div class=""clr"" data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<h3 class=""fs18 mt30 mb10 color"" data-mce-fragment=""1"">Product Description</h3>
<div class=""pdest1"" data-mce-fragment=""1"">
<div class=""fs16 lh28 pdpCtsr"" data-mce-fragment=""1"">We are devoted towards offering the qualitative range of<b data-mce-fragment=""1""><span data-mce-fragment=""1""> </span>Maaza 200 ML Cold Drinks,</b><span data-mce-fragment=""1""> </span>as per client’s precise need and requirements.<br data-mce-fragment=""1"">
</div>
<div class=""cSMn bGF5 pd20 dsf fs16 brs5 mt30"" data-mce-fragment=""1"">
<div class=""lh21"" data-mce-fragment=""1"">Interested in<span data-mce-fragment=""1""> </span>
</div>
</div>
</div>",maza,drink,"",true,Title,Default Title,,,,,'100,0.0,shopify,100,deny,manual,10.00,15.00,true,true,"",https://cdn.shopify.com/s/files/1/0529/9853/7369/products/maza-200-ml-juice-500x500.jpg?v=1612174423,1,,false,,,,,,,,,,,,,,,,,kg,,8.00,active
mazza-fruit-juice-packaging-bottle,"Mazza Fruit Juice, Packaging: Bottle","<meta content=""text/html; charset=utf-8"" http-equiv=""content-type"">
<div class=""pdst"" data-mce-fragment=""1"">
<div id=""ulActive"" class=""pfhdg pdinb sl"" data-mce-fragment=""1""><br></div>
</div>
<div id=""pdpD"" data-mce-fragment=""1"">
<div class=""dtlsec1"" data-mce-fragment=""1"">
<h3 class=""fs18 mt30 mb10 color"" data-mce-fragment=""1"">Product Specification</h3>
<table data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td class=""tdwdt"" data-mce-fragment=""1"">Flavour</td>
<td class=""tdwdt1 color6"" data-mce-fragment=""1"">Mango</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""tdwdt"" data-mce-fragment=""1"">Packaging</td>
<td class=""tdwdt1 color6"" data-mce-fragment=""1"">Bottle</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""tdwdt"" data-mce-fragment=""1"">Brand</td>
<td class=""tdwdt1 color6"" data-mce-fragment=""1"">Mazza</td>
</tr>
</tbody>
</table>
</div>
</div>",maza,drink,maza,true,Title,Default Title,,,,,'100,0.0,shopify,100,deny,manual,50.00,60.00,true,true,"",https://cdn.shopify.com/s/files/1/0529/9853/7369/products/Cool-Drink-Maaza-Mango-1-Ltr.jpg?v=1612174421,1,,false,,,,,,,,,,,,,,,,,kg,,40.00,active
agrokomerc-maza-spread-700g,Agrokomerc Maza  Spread 700g,"<meta content=""text/html; charset=utf-8"" http-equiv=""content-type"">
<h3 class=""fs18 mt30 mb10 color"" data-mce-fragment=""1"">Product Specification</h3>
<div class=""scrollable-wrapper"" data-mce-fragment=""1"">
<table data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td class=""tdwdt"" data-mce-fragment=""1"">Brand</td>
<td class=""tdwdt1 color6"" data-mce-fragment=""1"">Coco Cola</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""tdwdt"" data-mce-fragment=""1"">Color</td>
<td class=""tdwdt1 color6"" data-mce-fragment=""1"">Yellow</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""tdwdt"" data-mce-fragment=""1"">Flavour</td>
<td class=""tdwdt1 color6"" data-mce-fragment=""1"">Mango</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""tdwdt"" data-mce-fragment=""1"">Packaging Size</td>
<td class=""tdwdt1 color6"" data-mce-fragment=""1"">250 ml</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""tdwdt"" data-mce-fragment=""1"">Form</td>
<td class=""tdwdt1 color6"" data-mce-fragment=""1"">Liquid</td>
</tr>
<tr data-mce-fragment=""1"">
<td class=""tdwdt"" data-mce-fragment=""1"">Minimum Order Quantity</td>
<td class=""tdwdt1 color6"" data-mce-fragment=""1"">500 Piece</td>
</tr>
</tbody>
</table>
</div>",maza,drink,maza,true,Title,Default Title,,,,,'100,0.0,shopify,100,deny,manual,40.00,50.00,true,true,"",https://cdn.shopify.com/s/files/1/0529/9853/7369/products/Agrokomerc-Maza-30-Hazenlut-Spread-700g-300x300.jpg?v=1612174419,1,,false,,,,,,,,,,,,,,,,,kg,,45.00,active
maza-chaunsa-mango-fruit-drink-1ltr,Maza Chaunsa Mango Fruit Drink 1Ltr,"<meta content=""text/html; charset=utf-8"" http-equiv=""content-type"">
<div class=""card__header"" data-mce-fragment=""1"">
<h2 class=""card__title heading h3"" data-mce-fragment=""1"">Description</h2>
</div>
<div class=""card__section"" data-mce-fragment=""1"">
<div class=""rte text--pull"" data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Maza Chaunsa Mango Fruit Drink 1Ltr</p>
</div>
</div>",maza,drink,maza,true,Title,Default Title,,,,,'100,0.0,shopify,100,deny,manual,90.00,100.00,true,true,"",https://cdn.shopify.com/s/files/1/0529/9853/7369/products/Maza_Chaunsa_Mango_Fruit_Drink_1Ltr_293x_2dddd83a-6544-406d-bd77-887a0b8ab37c.jpg?v=1612174417,1,,false,,,,,,,,,,,,,,,,,kg,,80.00,active
